id,uuid,product_id,category_id,category_name,product_name,product_price,product_image,product_link,product_api_sold,product_web_sold,product_vists
144,cl9uh6pwi008oupa0bx9tgwrp,MLV711088601,MLV1430,"Ropa, Zapatos y Accesorios",Bolso Bandolero Cruzado,4.5,http://http2.mlstatic.com/D_946406-MLV52062481258_102022-I.jpg,https://articulo.mercadolibre.com.ve/MLV-711088601-bolso-bandolero-cruzado-_JM,500,913,1304
54,cl9uh163i003cupa01bo1yh2a,MLV559511805,MLV1648,Computación,Toner Compatible Hp 105a Para W1105a 107w 107a 135a 135w,15.5,http://http2.mlstatic.com/D_806909-MLV46076614055_052021-I.jpg,https://articulo.mercadolibre.com.ve/MLV-559511805-toner-compatible-hp-105a-para-w1105a-107w-107a-135a-135w-_JM,500,905,305
35,cl9uh0g92001wupa0o4w9qj2o,MLV488000898,MLV445811,"Arte, Papelería y Mercería",Cartulina Opalina Blanca 210grs. Tamaño Oficio,6.6,http://http2.mlstatic.com/D_653136-MLV42836980981_072020-I.jpg,https://articulo.mercadolibre.com.ve/MLV-488000898-cartulina-opalina-blanca-210grs-tamano-oficio-_JM,500,898,108
45,cl9uh0q80002gupa0fep4t0z4,MLV469742285,MLV1039,Cámaras y Accesorios,Memoria Micro Sd Hc 32gb Kingston Clase 10 Original Sellada.,5,http://http2.mlstatic.com/D_974990-MLV42718538938_072020-I.jpg,https://articulo.mercadolibre.com.ve/MLV-469742285-memoria-micro-sd-hc-32gb-kingston-clase-10-original-sellada-_JM,500,896,125
81,cl9uh3eks004wupa0ntoiu624,MLV579029635,MLV5726,Electrodomésticos,Vaso De Licuadora De Vidrio Oster,5.99,http://http2.mlstatic.com/D_611897-MLV41145121965_032020-I.jpg,https://articulo.mercadolibre.com.ve/MLV-579029635-vaso-de-licuadora-de-vidrio-oster-_JM,500,869,234
8,cl9ugocxy000eupb43al2gn86,MLV560951223,MLV1747,Accesorios para Vehículos,Aceite Caja Cvtf 4 Mopar Jeep Compass Patriot Dodge Caliber,13,http://http2.mlstatic.com/D_688586-MLV50865462700_072022-I.jpg,https://articulo.mercadolibre.com.ve/MLV-560951223-aceite-caja-cvtf-4-mopar-jeep-compass-patriot-dodge-caliber-_JM,500,857,221
71,cl9uh33uz004cupa025bcc88f,MLV501377592,MLV1276,Deportes y Fitness,Vaso Contigo Byron 20oz Por Scubafoto,20,http://http2.mlstatic.com/D_804161-MLV52128818576_102022-I.jpg,https://articulo.mercadolibre.com.ve/MLV-501377592-vaso-contigo-byron-20oz-por-scubafoto-_JM,500,856,564
101,cl9uh5evh0062upa0llwq4vbo,MLV549684579,MLV1246,Estética y Belleza,Corrector De Postura Y Espalda 100% Ajustable,10,http://http2.mlstatic.com/D_812156-MLV43680485289_102020-I.jpg,https://articulo.mercadolibre.com.ve/MLV-549684579-corrector-de-postura-y-espalda-100-ajustable-_JM,500,853,606
83,cl9uh3g880050upa0k96fxd08,MLV517930204,MLV5726,Electrodomésticos,Cuchilla Oster + Dado Acople,5,http://http2.mlstatic.com/D_643276-MLV50546369787_072022-I.jpg,https://articulo.mercadolibre.com.ve/MLV-517930204-cuchilla-oster-dado-acople-_JM,500,853,193
2,cl9ugo8650002upb4r1tqyc36,MLV715095898,MLV1747,Accesorios para Vehículos,Cepillo Limpia Parabrisas Universal Variedad De Medidas ,2,http://http2.mlstatic.com/D_733341-MLV49808960162_042022-I.jpg,https://articulo.mercadolibre.com.ve/MLV-715095898-cepillo-limpia-parabrisas-universal-variedad-de-medidas-_JM,500,852,2883
